StoneAge historical map.exe capture analysis — R1
SCOPE|Wayback-capture-transient-download+archive-list+map-dat-validation|derived-metadata-only|no-payload-commit
ORIGINAL|http://www.wuxitianlong.com:80/sa/map.exe
CAPTURE|timestamp=20030623234451|status=200|bytes=4223728|sha256=372426e46765a1cf479041bdafc1d3e58fb019117d00d0b43d6a5f796620776e|md5=b357132ca82d012656b9c907acef5d4e|signature=pe-mz|content_type=application/octet-stream|final=https://web.archive.org/web/20030623234451id_/http://www.wuxitianlong.com:80/sa/map.exe
ARCHIVE|timestamp=20030623234451|7z_code=0|entries=1011|map_entries=1008|error=
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/100.DAT|size=3840008|packed=327110|crc=0FB70F45|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10001.DAT|size=15008|packed=1914|crc=F58EB8DA|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/32018.DAT|size=21608|packed=1746|crc=2886A951|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10002.DAT|size=15008|packed=2030|crc=E6EF0821|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/5005.DAT|size=7208|packed=555|crc=21C43F6A|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/5003.DAT|size=7208|packed=499|crc=E27D9FD0|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/10003.DAT|size=15008|packed=2001|crc=456D0E51|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/40.DAT|size=2408|packed=597|crc=F0125516|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/31501.DAT|size=28808|packed=3859|crc=A4257297|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/200.DAT|size=5760008|packed=415032|crc=A4347394|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2000.DAT|size=135008|packed=17262|crc=9BA13CF5|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2002.DAT|size=5408|packed=283|crc=B47DB62B|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/2006.DAT|size=7208|packed=380|crc=E367649C|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/3000.DAT|size=135008|packed=13615|crc=94B1B001|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/3003.DAT|size=5408|packed=302|crc=F025DB04|method=m5:20
