StoneAge 2.5-family DiscMaster client-signature carrier probe — R1
SCOPE|public-file-index|verified-bridge-filenames|metadata-only|no-indexed-file-payload
BOUNDARY|bridge signatures can locate related client trees but cannot by themselves date or authenticate a carrier as 2002/clean
QUERY|label=adrn15|name=adrn_15.bin|kind=distinctive|status=200|bytes=2|sha256=4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945|exact_rows=0|final=https://discmaster.textfiles.com/search?q=%22adrn_15.bin%22&qfields=name&mode=deep&dedup=dedup&limit=100&outputAs=json&showItemName=showItemName&tsMin=2000&tsMax=2006
QUERY|label=real15|name=real_15.bin|kind=distinctive|status=200|bytes=2|sha256=4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945|exact_rows=0|final=https://discmaster.textfiles.com/search?q=%22real_15.bin%22&qfields=name&mode=deep&dedup=dedup&limit=100&outputAs=json&showItemName=showItemName&tsMin=2000&tsMax=2006
QUERY|label=spradrn5|name=spradrn_5.bin|kind=distinctive|status=200|bytes=2|sha256=4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945|exact_rows=0|final=https://discmaster.textfiles.com/search?q=%22spradrn_5.bin%22&qfields=name&mode=deep&dedup=dedup&limit=100&outputAs=json&showItemName=showItemName&tsMin=2000&tsMax=2006
QUERY|label=startup-exe|name=Startup.exe|kind=supporting|status=200|bytes=1354049|sha256=7cf434943ea6e8aedecdcffd7e3fa3c25801f84eea9d1a7428b7c09d37b14b5d|exact_rows=100|final=https://discmaster.textfiles.com/search?q=%22Startup.exe%22&qfields=name&mode=deep&dedup=dedup&limit=100&outputAs=json&showItemName=showItemName&tsMin=2000&tsMax=2006
HIT|label=startup-exe|kind=supporting|itemid=12787|itemName=AOL File Library: 9,400 to 9,499 (other)|path=9400.zip/AOLDLs/Service-Softwarearchiv/ZyConfig_WLAN.zip/ZyConfig_WLAN/Utility/G200/G200.exe/Disk1/data1.cab/App_Executables/Startup.exe|size=20480|ts=2004-04-16|b3sum=a0c894849e78e824e0c326449a9deeca80e786a66b8cee47a185b7f2fd02a939
HIT|label=startup-exe|kind=supporting|itemid=12726|itemName=ftp.support.lotus.com (FTP)|path=2008-12-23_ftp.support.lotus.com.zip/devices/os2/dtoc/eval/Eval_DtOC4_Win_English.exe/startup.exe|size=36864|ts=2000-07-13|b3sum=75f8a411fd263b788bca76ff886d8a6e52b59254c9d8d6fde0b4d971bc60a1bc
HIT|label=startup-exe|kind=supporting|itemid=22364|itemName=DOS/V Power Report 2002 December (Special) (CD-ROM)|path=DOSV2002_12.iso/OCN/Startup.exe|size=884736|ts=2001-09-19|b3sum=aa5dc6f32a1197d2b94701b7219dcb2bd8fc08bee6848eeaaf312ac1136e1053
HIT|label=startup-exe|kind=supporting|itemid=23428|itemName=Chip 2003 November (CD-ROM)|path=Chip_2003-11_cd2.bin/nav2004/download/Support/Edisk/Disk1.img/startup.exe/startup.exe|size=206716|ts=2002-01-09|b3sum=8ab171b517482fd1faafbca793b783f504c983fd8439ee9b23dd5531fa2a013f
HIT|label=startup-exe|kind=supporting|itemid=23438|itemName=Chip 2004 September (CD-ROM)|path=Chip_2004-09_cd2.bin/prog/nortonav/nav10esd.exe/Support/Edisk/Disk1.img/startup.exe|size=116153|ts=2002-01-09|b3sum=4e00777fb584e0c0980a34eef7233bb8dd42aefff3c67e03ec761faad6429a55
HIT|label=startup-exe|kind=supporting|itemid=45385|itemName=CD Action 204 (CD-ROM)|path=Dysk1.iso/pelne/DSA/DSA/StartUp.exe|size=273793|ts=2000-01-01|b3sum=12462485611905e0038fa9aa914ebe5f67b5231cbe2c670dfd00c30027d8b148
HIT|label=startup-exe|kind=supporting|itemid=31735|itemName=Enter 2007 February (CD-ROM)|path=EnterCD_02_2007.iso/Uzytki/Quick Startup/startupsetup.exe/{app}/startup.exe|size=1833984|ts=2006-10-15|b3sum=992f318b4e097c0a32652f5e05bdb4d96b6c2e68518d13a9064909ef37f53fd4
