StoneAge 2.5 sa25up historical host-neighborhood probe — R1
SCOPE|dated-source-links+wayback-cdx-host-metadata|no-game-payload-download
HOST|202.104.32.168
SOURCE|timestamp=20030605104851|status=200|bytes=406274|sha256=604304bd2c931c463ccb575f3920dd096a340441825a58274d9f6e897dc966c5|encoding=cp950|same_host_anchors=1|final=https://web.archive.org/web/20030605104851id_/http://pcpc.idv.tw:80/soft/soft.htm
SOURCE_LINK|order=1|label=http://202.104.32.168/file/game/maoxian/sa25up.zip|href=http://202.104.32.168/file/game/maoxian/sa25up.zip
CDX|label=host-all|prefix=http://202.104.32.168/|status=200|bytes=179900|sha256=32c0e09230aff2355d177c58d296659f8f5f5a9c9eb0339088c14fa2d1137657|rows=1372|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2F202.104.32.168%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength%2Credirect&from=2001&to=2004&collapse=urlkey&limit=3000
IDENTITY_HTML|query=host-all|timestamp=20011227124446|original=http://202.104.32.168:80/|status=200|mime=text/html|length=9267|digest=L74C4O22FZ5EUKDS27IWGXMNRKRPDYWF
IDENTITY_HTML|query=host-all|timestamp=20020806011628|original=http://202.104.32.168:80/b.php|status=302|mime=text/html|length=235|digest=3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ
IDENTITY_HTML|query=host-all|timestamp=20021201031039|original=http://202.104.32.168:80/downit.php?id=10157&num=0|status=200|mime=text/html|length=334|digest=K6KSE3RVIXWNIH3OOE3PURGT3NWAR4U4
IDENTITY_HTML|query=host-all|timestamp=20020831181045|original=http://202.104.32.168:80/downit.php?id=10158&num=0|status=200|mime=text/html|length=343|digest=BLFTR7MKLGQ6OFLQFB5WQPI5264CLW6K
IDENTITY_HTML|query=host-all|timestamp=20020831181821|original=http://202.104.32.168:80/downit.php?id=1072&num=0|status=200|mime=text/html|length=333|digest=MZ45GWHNBYEFUWPTJCHE3KNGCRYJFR6V
IDENTITY_HTML|query=host-all|timestamp=20020831181829|original=http://202.104.32.168:80/downit.php?id=10720&num=0|status=200|mime=text/html|length=337|digest=VCEQE7542K3VRMDZYN6RXCOYEXRSFWQZ
IDENTITY_HTML|query=host-all|timestamp=20020831175605|original=http://202.104.32.168:80/downit.php?id=1090&num=0|status=200|mime=text/html|length=343|digest=FEBAYHF4YQJZBCEITR5335MZKEXNRD34
IDENTITY_HTML|query=host-all|timestamp=20020901053525|original=http://202.104.32.168:80/downit.php?id=1137&num=0|status=200|mime=text/html|length=344|digest=GTDJNJMJJDRJZDNH5UZWILHKDPZELWJ5
IDENTITY_HTML|query=host-all|timestamp=20021201024624|original=http://202.104.32.168:80/downit.php?id=1138&num=0|status=200|mime=text/html|length=343|digest=P4J647U5B2OIYXKCDYO6COIERH2VENSV
IDENTITY_HTML|query=host-all|timestamp=20020901052810|original=http://202.104.32.168:80/downit.php?id=1143&num=0|status=200|mime=text/html|length=343|digest=B57IZTCWEUYETXS4J4YW46K6FJKPIEET
IDENTITY_HTML|query=host-all|timestamp=20020906093826|original=http://202.104.32.168:80/downit.php?id=12438&num=0|status=200|mime=text/html|length=336|digest=MK7MMPGEJE3B5LU5PBTDO63M2HFBTMOF
IDENTITY_HTML|query=host-all|timestamp=20030526114337|original=http://202.104.32.168:80/downit.php?id=12444&num=0|status=302|mime=text/html|length=344|digest=U2CNIKDM5IMVMRPKK2UBNL47S4LLKULW
IDENTITY_HTML|query=host-all|timestamp=20020906093630|original=http://202.104.32.168:80/downit.php?id=127&num=0|status=200|mime=text/html|length=334|digest=X6OKT4NHZ2WDP4IYMGT3C3DRB626W4Q5
IDENTITY_HTML|query=host-all|timestamp=20030514134027|original=http://202.104.32.168:80/downit.php?id=12910&num=0|status=302|mime=text/html|length=346|digest=27O6FJ7OQPOIPPWEQ5BYCKZE7AFHR7RX
IDENTITY_HTML|query=host-all|timestamp=20021201025720|original=http://202.104.32.168:80/downit.php?id=13934&num=0|status=200|mime=text/html|length=349|digest=QKL72XKKQ2A2GHWZYXXPIVZXI7WLFA44
IDENTITY_HTML|query=host-all|timestamp=20030514134222|original=http://202.104.32.168:80/downit.php?id=146&num=0|status=302|mime=text/html|length=344|digest=OGGFULBOLJZZ4URTPYNDUBSO5D6K4SQ2
IDENTITY_HTML|query=host-all|timestamp=20020906191057|original=http://202.104.32.168:80/downit.php?id=14939&num=0|status=200|mime=text/html|length=343|digest=ODZGGVA5MBVB52ZYNGHF3C6SUQAWJ7HG
IDENTITY_HTML|query=host-all|timestamp=20020907163635|original=http://202.104.32.168:80/downit.php?id=15916&num=0|status=200|mime=text/html|length=343|digest=PWPCP5PKZCLSYA75SNMFB5K6K3BA6BUK
IDENTITY_HTML|query=host-all|timestamp=20030514135936|original=http://202.104.32.168:80/downit.php?id=15971&num=0|status=302|mime=text/html|length=347|digest=KG3TOUA3VH4RZD5V55R5PJABYHTLR7DM
IDENTITY_HTML|query=host-all|timestamp=20020908030157|original=http://202.104.32.168:80/downit.php?id=17691&num=0|status=200|mime=text/html|length=341|digest=OQKGTJI72LDGL635GYHWTK2YWVHRMQOI
IDENTITY_HTML|query=host-all|timestamp=20020908030932|original=http://202.104.32.168:80/downit.php?id=17803&num=0|status=200|mime=text/html|length=341|digest=UCJPNWEOUNWJ2LKKGZFGQXPPQEHWZSVX
IDENTITY_HTML|query=host-all|timestamp=20020908030833|original=http://202.104.32.168:80/downit.php?id=17941&num=0|status=200|mime=text/html|length=338|digest=EFV22KJSZJAIUY367FB4XJCXM5BRA77P
IDENTITY_HTML|query=host-all|timestamp=20020908023912|original=http://202.104.32.168:80/downit.php?id=18061&num=0|status=200|mime=text/html|length=333|digest=AUGY6A4FEJLCPHM3AN4GVRDVBOXZE2N5
IDENTITY_HTML|query=host-all|timestamp=20020930032802|original=http://202.104.32.168:80/downit.php?id=18522&num=0|status=200|mime=text/html|length=339|digest=5ZBWKCFSUCSXPU5HV7ACWSNMZ4XLFPB4
IDENTITY_HTML|query=host-all|timestamp=20020930032353|original=http://202.104.32.168:80/downit.php?id=18528&num=0|status=200|mime=text/html|length=334|digest=AWK5CXPBO47T43YXKCPJ6YW7UDN4L36P
IDENTITY_HTML|query=host-all|timestamp=20020930033035|original=http://202.104.32.168:80/downit.php?id=18596&num=0|status=200|mime=text/html|length=341|digest=3NPGBGSDSAPC7F3DX33F23WYUJWPHEWR
IDENTITY_HTML|query=host-all|timestamp=20020930033428|original=http://202.104.32.168:80/downit.php?id=18662&num=0|status=200|mime=text/html|length=334|digest=WNSEM7NP5QCMDVOSHP3ONS2L4P3QCK5T
IDENTITY_HTML|query=host-all|timestamp=20020930034105|original=http://202.104.32.168:80/downit.php?id=18772&num=0|status=200|mime=text/html|length=333|digest=WVOHX2FOSPHTXMM3FTGMK7QWRASV56N2
IDENTITY_HTML|query=host-all|timestamp=20020930213557|original=http://202.104.32.168:80/downit.php?id=18933&num=0|status=200|mime=text/html|length=342|digest=GRNX7PI4X4WASYOVFRC3LOTBN3734OWF
IDENTITY_HTML|query=host-all|timestamp=20020930214320|original=http://202.104.32.168:80/downit.php?id=19017&num=0|status=200|mime=text/html|length=346|digest=EQCQRJY3FIGY7OSUP2SCGTRY4NPXAMK4
IDENTITY_HTML|query=host-all|timestamp=20020930214246|original=http://202.104.32.168:80/downit.php?id=19046&num=0|status=200|mime=text/html|length=343|digest=JR4LZHQNPSPEJJLJ6YHBT6GPZ6SJBHWI
IDENTITY_HTML|query=host-all|timestamp=20020930213931|original=http://202.104.32.168:80/downit.php?id=19289&num=0|status=200|mime=text/html|length=345|digest=NNGQTCVPRWOPEY2JBJDEYZMUC45HBY3L
IDENTITY_HTML|query=host-all|timestamp=20020930213911|original=http://202.104.32.168:80/downit.php?id=19292&num=0|status=200|mime=text/html|length=340|digest=WS57WMQ4P45DTZ7PW5VO65SGYCTBGXLM
IDENTITY_HTML|query=host-all|timestamp=20020930214650|original=http://202.104.32.168:80/downit.php?id=19567&num=0|status=200|mime=text/html|length=339|digest=ASX5TFUBAG6PJKW33H4YX4YTFT6MA4F7
IDENTITY_HTML|query=host-all|timestamp=20030529130900|original=http://202.104.32.168:80/downit.php?id=19656&num=0|status=302|mime=text/html|length=347|digest=RVWNP56OMH547NW2MMLDLENVJGEA2XGV
IDENTITY_HTML|query=host-all|timestamp=20030529124547|original=http://202.104.32.168:80/downit.php?id=19697&num=0|status=302|mime=text/html|length=346|digest=WE7CE2H6PGQMNAZ3XFJXGMWIOYTHSGIX
IDENTITY_HTML|query=host-all|timestamp=20020930214959|original=http://202.104.32.168:80/downit.php?id=19699&num=0|status=200|mime=text/html|length=333|digest=PUHZ2RBZQNL2R4UVJ63DO3PB337SHXDQ
IDENTITY_HTML|query=host-all|timestamp=20020930220030|original=http://202.104.32.168:80/downit.php?id=20547&num=0|status=200|mime=text/html|length=334|digest=3AP32BC7B6JQKWCGSDV4FMVUVS2F7JTF
IDENTITY_HTML|query=host-all|timestamp=20030529125754|original=http://202.104.32.168:80/downit.php?id=20759&num=0|status=302|mime=text/html|length=346|digest=GTPBFXG5N7WKNBJZ5L7J2C5E3KAIDBYY
IDENTITY_HTML|query=host-all|timestamp=20030529130624|original=http://202.104.32.168:80/downit.php?id=20953&num=0|status=302|mime=text/html|length=346|digest=OPM6VMJ6NXRR4GDXIBSUU657UTFI5EDJ
IDENTITY_HTML|query=host-all|timestamp=20030529130401|original=http://202.104.32.168:80/downit.php?id=2188&num=0|status=302|mime=text/html|length=344|digest=Z3FDTV6O4S4GM226I5B6GJNZDRSAJYJN
IDENTITY_HTML|query=host-all|timestamp=20020930215938|original=http://202.104.32.168:80/downit.php?id=22045&num=0|status=200|mime=text/html|length=338|digest=7GRVUMVVF4VUDPYCFGKPXR7SLYXWB2LK
IDENTITY_HTML|query=host-all|timestamp=20020930215553|original=http://202.104.32.168:80/downit.php?id=2208&num=0|status=200|mime=text/html|length=340|digest=OZKFJEL5HV4KADKPUMJYGR74BWIVMUK6
IDENTITY_HTML|query=host-all|timestamp=20020930220942|original=http://202.104.32.168:80/downit.php?id=22091&num=0|status=200|mime=text/html|length=336|digest=NARZVWANM4UUXJOEQJDMS2JDIRD72A2Q
