StoneAge Beijing-Waei 2.5 official download-page probe — R1
SCOPE|grounded-official-stoneage-prefix|2002-01-01..2002-03-15|Wayback-CDX+bounded-HTML-replay|no-binary-payload
TARGET|prefix=http://www.waei.com.cn/zhuanqu/stoneage/|from=20020101|to=20020315|max_replays=300
CDX|status=200|bytes=278146|sha256=22f92af90ed3d9b448a43f46fce16acd3b47a7c97a0a69d4f9c7ac22bdcf0edd|rows=1846|html_rows=509|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fwww.waei.com.cn%2Fzhuanqu%2Fstoneage%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&from=20020101&to=20020315&filter=statuscode%3A200&collapse=urlkey&limit=5000
URL_HINT|score=1|timestamp=20020201204847|original=http://www.waei.com.cn:80/zhuanqu/stoneage/|mimetype=text/html|digest=7FCES2UJKAJCRFVWRWK7Q5PZCQEO246E|length=5168
URL_HINT|score=1|timestamp=20020103101306|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/002.gif|mimetype=image/gif|digest=ZWGFA4TD4RUVUIRM3ADP6XR5YJXUJXZT|length=77128
URL_HINT|score=1|timestamp=20020103102705|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/002s.gif|mimetype=image/gif|digest=A4XNXKVYAFYCYPEVB3XJMIR4IYG7XVON|length=10875
URL_HINT|score=1|timestamp=20020103103643|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/005.gif|mimetype=image/gif|digest=SKJEL5QAXSTAI6OU6GHZXFUVCUPOU7H7|length=67425
URL_HINT|score=1|timestamp=20020103104200|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/005s.gif|mimetype=image/gif|digest=MFCMT62QVZGDKWYYLNOKWLUYU42DFRWK|length=10688
URL_HINT|score=1|timestamp=20020103105009|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/083.jpg|mimetype=image/jpeg|digest=S5VVJ4MKFJDNLED5IH7TFXGWUJ6VLBLH|length=39814
URL_HINT|score=1|timestamp=20020103105500|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/083s.gif|mimetype=image/gif|digest=VA4P3ONBGKSBHUKYE2K3QY3J2FLH2NSI|length=7998
URL_HINT|score=1|timestamp=20020103110007|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/084.jpg|mimetype=image/jpeg|digest=QNIQQLGYCJE7KCQF3ZCAD6BPOQR7VHHP|length=41404
URL_HINT|score=1|timestamp=20020103111327|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/1.gif|mimetype=image/gif|digest=56VUW7NJALKMOAMOJJSBBT5FZSNIKCPO|length=1579
URL_HINT|score=1|timestamp=20020315134425|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/13-2s.gif|mimetype=image/gif|digest=Y6WGPQCEWZE4BS4GKBTX2VMVAJC7VB6M|length=13105
URL_HINT|score=1|timestamp=20020306055200|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/2.gif|mimetype=image/gif|digest=W3JMDHSRSHQYAORPUIN23XJACU4TVSUI|length=3004
URL_HINT|score=1|timestamp=20020207182154|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/29_1s.GIF|mimetype=image/gif|digest=UWYN74VXUOOZSQD4ERUVZ53SA4NAELZE|length=82007
URL_HINT|score=1|timestamp=20020207165844|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/29_3.GIF|mimetype=image/gif|digest=SELCASJKTJR6ZVETINHZHQALG7454C6D|length=105706
URL_HINT|score=1|timestamp=20020207165824|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/29_3s.GIF|mimetype=image/gif|digest=27WUIQUWNZJA3A777CLNK4APDYEKCRGB|length=65035
URL_HINT|score=1|timestamp=20020207171921|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/29_4.GIF|mimetype=image/gif|digest=65DVMFOKT3YWUG7NJLHZGTYHDBU2HNEW|length=112779
URL_HINT|score=1|timestamp=20020207170630|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/29_4s.GIF|mimetype=image/gif|digest=4FMFRJKOEG2EM5PM4YEWZXT5D4UBMIS5|length=70860
URL_HINT|score=1|timestamp=20020207172737|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/29_5.GIF|mimetype=image/gif|digest=6GODJ7UCAJXR3EBUWQ2JJUQGHFNIAGLH|length=106237
URL_HINT|score=1|timestamp=20020207170932|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/29_5s.GIF|mimetype=image/gif|digest=XPQLVQCVJ6XZ54DK5K7AI6MFJL3OLGX4|length=71621
URL_HINT|score=1|timestamp=20020314191032|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/3-1-400.JPG|mimetype=image/jpeg|digest=K2YQNRRWNNWTYNA756LOSS2IHTJ32GQX|length=37197
URL_HINT|score=1|timestamp=20020315134948|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/3-1.jpg|mimetype=image/jpeg|digest=SJHOIQHSFKHW2NNZUUEQL4T2TVSGQ6SN|length=88780
URL_HINT|score=1|timestamp=20020315135428|original=http://waei.com.cn:80/zhuanqu/stoneage/active/img/zhenggao/3-1s.gif|mimetype=image/gif|digest=MC66XXEIBSKXONLWVQYUW7NDZXS3C4EF|length=13021
